Sat Mar 21 11:21:36 2020,	 184.0,	 0.00000,	 0.65000,	 -7.74000,	 1.80000,	 -2.62000,	 -4.21000,	 -0.93000,	1	
Sat Mar 21 11:21:37 2020,	 185.0,	 0.00000,	 0.67000,	 -7.64000,	 1.75000,	 -2.19000,	 -4.63000,	 -1.40000,	1	
Sat Mar 21 11:21:37 2020,	 186.0,	 0.00000,	 0.68000,	 -7.66000,	 1.71000,	 -2.44000,	 -4.48000,	 -1.79000,	1	
Sat Mar 21 11:21:37 2020,	 187.0,	 0.00000,	 0.71000,	 -7.72000,	 1.73000,	 -2.55000,	 -4.29000,	 -1.60000,	1	
Sat Mar 21 11:21:38 2020,	 188.0,	 0.00000,	 0.67000,	 -7.70000,	 1.75000,	 -2.60000,	 -4.70000,	 -1.12000,	1	
Sat Mar 21 11:21:38 2020,	 189.0,	 0.00000,	 0.62000,	 -7.71000,	 1.72000,	 -2.28000,	 -4.41000,	 -1.44000,	1	
Sat Mar 21 11:21:39 2020,	 190.0,	 0.00000,	 0.67000,	 -7.71000,	 1.70000,	 -2.38000,	 -4.17000,	 -1.24000,	1	
Sat Mar 21 11:21:39 2020,	 191.0,	 0.00000,	 0.71000,	 -7.66000,	 1.71000,	 -2.34000,	 -4.84000,	 -0.89000,	1	
Sat Mar 21 11:21:40 2020,	 192.0,	 0.00000,	 0.65000,	 -7.67000,	 1.72000,	 -2.61000,	 -4.48000,	 -2.10000,	1	
Sat Mar 21 11:21:40 2020,	 193.0,	 0.00000,	 0.66000,	 -7.71000,	 1.74000,	 -3.95000,	 -5.08000,	 -1.85000,	1	
Sat Mar 21 11:21:40 2020,	 194.0,	 0.00000,	 0.60000,	 -7.66000,	 1.61000,	 -4.28000,	 -1.79000,	 0.47000,	1	
Sat Mar 21 11:21:41 2020,	 195.0,	 0.00000,	 0.61000,	 -7.67000,	 1.60000,	 -1.77000,	 -4.62000,	 -1.33000,	1	
Sat Mar 21 11:21:41 2020,	 196.0,	 0.00000,	 0.49000,	 -7.65000,	 1.61000,	 -3.14000,	 -3.50000,	 -0.39000,	1	
Sat Mar 21 11:21:42 2020,	 197.0,	 0.00000,	 0.51000,	 -7.74000,	 1.60000,	 -2.81000,	 -5.82000,	 -2.09000,	1	
Sat Mar 21 11:21:42 2020,	 198.0,	 0.00000,	 0.54000,	 -7.77000,	 1.59000,	 -2.44000,	 -3.89000,	 -0.82000,	1	
Sat Mar 21 11:21:42 2020,	 199.0,	 0.00000,	 0.47000,	 -7.75000,	 1.44000,	 -2.17000,	 -4.44000,	 -1.25000,	1	
Sat Mar 21 11:21:43 2020,	 200.0,	 0.00000,	 0.42000,	 -7.75000,	 1.52000,	 -2.18000,	 -4.72000,	 -0.95000,	1	
