Thu Mar 19 15:01:50 2020,	 371.0,	 0.00000,	 8.05000,	 -0.18000,	 -1.80000,	 -2.04000,	 -7.27000,	 -3.38000,	0	
Thu Mar 19 15:01:50 2020,	 372.0,	 0.00000,	 7.99000,	 -0.34000,	 -1.69000,	 -4.44000,	 -3.06000,	 0.95000,	0	
Thu Mar 19 15:01:50 2020,	 373.0,	 0.00000,	 7.98000,	 -0.22000,	 -1.84000,	 -1.19000,	 -7.44000,	 -0.66000,	0	
Thu Mar 19 15:01:50 2020,	 374.0,	 0.00000,	 8.01000,	 -0.19000,	 -1.62000,	 -3.18000,	 -3.05000,	 -0.46000,	0	
Thu Mar 19 15:01:51 2020,	 375.0,	 0.00000,	 8.00000,	 -0.32000,	 -1.72000,	 -3.73000,	 -4.67000,	 -3.09000,	0	
Thu Mar 19 15:01:51 2020,	 376.0,	 0.00000,	 8.07000,	 -0.49000,	 -1.58000,	 -1.97000,	 -2.85000,	 1.38000,	0	
Thu Mar 19 15:01:51 2020,	 377.0,	 0.00000,	 7.99000,	 -0.21000,	 -1.75000,	 -1.63000,	 -3.10000,	 -3.25000,	0	
Thu Mar 19 15:01:51 2020,	 378.0,	 0.00000,	 8.19000,	 -0.33000,	 -1.75000,	 -2.56000,	 -3.42000,	 0.03000,	0	
Thu Mar 19 15:01:51 2020,	 379.0,	 0.00000,	 7.96000,	 -0.24000,	 -1.69000,	 -1.81000,	 -2.71000,	 -2.53000,	0	
Thu Mar 19 15:01:52 2020,	 380.0,	 0.00000,	 8.19000,	 -0.39000,	 -1.59000,	 -2.21000,	 -3.34000,	 -0.63000,	0	
Thu Mar 19 15:01:52 2020,	 381.0,	 0.00000,	 8.02000,	 -0.18000,	 -1.67000,	 -0.98000,	 -3.12000,	 -1.13000,	0	
Thu Mar 19 15:01:52 2020,	 382.0,	 0.00000,	 8.17000,	 -0.19000,	 -1.56000,	 -2.04000,	 -5.47000,	 -2.18000,	0	
Thu Mar 19 15:01:52 2020,	 383.0,	 0.00000,	 8.10000,	 -0.29000,	 -1.66000,	 -2.29000,	 -4.73000,	 -0.99000,	0	
Thu Mar 19 15:01:52 2020,	 384.0,	 0.00000,	 8.11000,	 -0.30000,	 -1.58000,	 -2.50000,	 -6.67000,	 -2.34000,	0	
Thu Mar 19 15:01:53 2020,	 385.0,	 0.00000,	 8.26000,	 -0.33000,	 -1.75000,	 -9.15000,	 1.99000,	 1.01000,	0	
Thu Mar 19 15:01:53 2020,	 386.0,	 0.00000,	 8.14000,	 -0.16000,	 -1.54000,	 -4.46000,	 -5.31000,	 -2.34000,	0	
Thu Mar 19 15:01:53 2020,	 387.0,	 0.00000,	 8.08000,	 -0.24000,	 -1.65000,	 -4.47000,	 -3.94000,	 -1.66000,	0	
Thu Mar 19 15:01:53 2020,	 388.0,	 0.00000,	 7.85000,	 -0.19000,	 -1.72000,	 3.87000,	 -1.71000,	 -3.61000,	0	
Thu Mar 19 15:01:54 2020,	 389.0,	 0.00000,	 8.18000,	 -0.22000,	 -1.10000,	 3.10000,	 -6.47000,	 0.07000,	0	
Thu Mar 19 15:01:54 2020,	 390.0,	 0.00000,	 8.09000,	 -0.32000,	 -1.37000,	 -1.31000,	 -4.64000,	 -1.71000,	0	
Thu Mar 19 15:01:54 2020,	 391.0,	 0.00000,	 8.08000,	 -0.12000,	 -1.35000,	 -4.27000,	 -6.17000,	 -2.72000,	0	
Thu Mar 19 15:01:54 2020,	 392.0,	 0.00000,	 8.00000,	 -0.25000,	 -1.40000,	 -2.61000,	 -5.16000,	 -1.18000,	0	
Thu Mar 19 15:01:54 2020,	 393.0,	 0.00000,	 8.06000,	 -0.33000,	 -1.53000,	 -4.26000,	 -5.35000,	 -1.77000,	0	
Thu Mar 19 15:01:55 2020,	 394.0,	 0.00000,	 8.13000,	 -0.28000,	 -1.47000,	 -3.84000,	 -4.50000,	 -1.58000,	0	
Thu Mar 19 15:01:55 2020,	 395.0,	 0.00000,	 8.13000,	 -0.41000,	 -1.47000,	 -2.84000,	 -4.22000,	 -0.44000,	0	
Thu Mar 19 15:01:55 2020,	 396.0,	 0.00000,	 8.04000,	 -0.29000,	 -1.50000,	 -3.51000,	 -4.73000,	 -1.56000,	0	
Thu Mar 19 15:01:55 2020,	 397.0,	 0.00000,	 7.98000,	 -0.16000,	 -1.61000,	 -3.60000,	 -5.28000,	 -3.13000,	0	
Thu Mar 19 15:01:55 2020,	 398.0,	 0.00000,	 8.02000,	 -0.30000,	 -1.50000,	 -1.95000,	 -3.82000,	 -0.89000,	0	
Thu Mar 19 15:01:56 2020,	 399.0,	 0.00000,	 8.08000,	 -0.28000,	 -1.53000,	 -2.23000,	 -3.99000,	 -0.14000,	0	
Thu Mar 19 15:01:56 2020,	 400.0,	 0.00000,	 8.14000,	 -0.28000,	 -1.54000,	 -2.72000,	 -3.76000,	 -1.18000,	0	
Thu Mar 19 15:01:56 2020,	 401.0,	 0.00000,	 8.05000,	 -0.19000,	 -1.49000,	 -2.02000,	 -4.83000,	 -1.24000,	0	
Thu Mar 19 15:01:56 2020,	 402.0,	 0.00000,	 8.06000,	 -0.21000,	 -1.59000,	 -0.02000,	 -6.69000,	 -0.74000,	0	
Thu Mar 19 15:01:57 2020,	 403.0,	 0.00000,	 8.14000,	 -0.09000,	 -1.58000,	 -2.37000,	 -5.11000,	 -2.11000,	0	
Thu Mar 19 15:01:57 2020,	 404.0,	 0.00000,	 8.07000,	 -0.21000,	 -1.57000,	 -2.89000,	 -3.85000,	 -1.09000,	0	
Thu Mar 19 15:01:57 2020,	 405.0,	 0.00000,	 8.09000,	 -0.17000,	 -1.53000,	 -2.41000,	 -4.11000,	 -1.98000,	0	
Thu Mar 19 15:01:57 2020,	 406.0,	 0.00000,	 8.11000,	 -0.16000,	 -1.54000,	 -1.92000,	 -4.46000,	 -0.32000,	0	
Thu Mar 19 15:01:57 2020,	 407.0,	 0.00000,	 8.15000,	 -0.23000,	 -1.39000,	 -2.57000,	 -4.78000,	 -1.92000,	0	
Thu Mar 19 15:01:58 2020,	 408.0,	 0.00000,	 8.02000,	 -0.12000,	 -1.43000,	 -3.59000,	 -3.53000,	 -1.37000,	0	
Thu Mar 19 15:01:58 2020,	 409.0,	 0.00000,	 8.09000,	 -0.17000,	 -1.45000,	 -2.65000,	 -4.30000,	 -0.75000,	0	
Thu Mar 19 15:01:58 2020,	 410.0,	 0.00000,	 8.13000,	 -0.18000,	 -1.40000,	 -2.36000,	 -4.37000,	 -0.84000,	0	
Thu Mar 19 15:01:58 2020,	 411.0,	 0.00000,	 8.08000,	 -0.16000,	 -1.45000,	 -2.43000,	 -3.53000,	 -0.72000,	0	
Thu Mar 19 15:01:59 2020,	 412.0,	 0.00000,	 8.07000,	 -0.18000,	 -1.88000,	 -1.79000,	 0.28000,	 -1.77000,	0	
Thu Mar 19 15:01:59 2020,	 413.0,	 0.00000,	 8.13000,	 -0.17000,	 -1.55000,	 0.09000,	 -2.98000,	 -2.01000,	0	
Thu Mar 19 15:01:59 2020,	 414.0,	 0.00000,	 8.12000,	 -0.20000,	 -1.45000,	 -3.21000,	 -4.18000,	 -2.61000,	0	
