Fri Mar 20 22:41:39 2020,	 163.0,	 0.00000,	 8.15000,	 -0.27000,	 -0.11000,	 -2.24000,	 -4.42000,	 -1.03000,	0	
Fri Mar 20 22:41:39 2020,	 164.0,	 0.00000,	 8.15000,	 -0.26000,	 -0.17000,	 -1.51000,	 -5.58000,	 -0.73000,	0	
Fri Mar 20 22:41:39 2020,	 165.0,	 0.00000,	 8.12000,	 -0.38000,	 -0.20000,	 -1.75000,	 -5.35000,	 -0.99000,	0	
Fri Mar 20 22:41:39 2020,	 166.0,	 0.00000,	 8.10000,	 -0.33000,	 -0.18000,	 -2.34000,	 -3.83000,	 -1.04000,	0	
Fri Mar 20 22:41:40 2020,	 167.0,	 0.00000,	 8.07000,	 -0.34000,	 -0.06000,	 -2.25000,	 -4.85000,	 -1.36000,	0	
Fri Mar 20 22:41:40 2020,	 168.0,	 0.00000,	 8.18000,	 -0.33000,	 -0.20000,	 -2.65000,	 -4.35000,	 -1.56000,	0	
Fri Mar 20 22:41:40 2020,	 169.0,	 0.00000,	 8.10000,	 -0.29000,	 -0.07000,	 -2.74000,	 -4.44000,	 -1.44000,	0	
Fri Mar 20 22:41:40 2020,	 170.0,	 0.00000,	 8.16000,	 -0.23000,	 -0.17000,	 -3.29000,	 -3.60000,	 -1.87000,	0	
Fri Mar 20 22:41:41 2020,	 171.0,	 0.00000,	 8.23000,	 -0.26000,	 -0.17000,	 -2.40000,	 -3.94000,	 -0.98000,	0	
Fri Mar 20 22:41:41 2020,	 172.0,	 0.00000,	 8.10000,	 -0.36000,	 -0.16000,	 -2.27000,	 -4.31000,	 -1.87000,	0	
Fri Mar 20 22:41:48 2020,	 207.0,	 0.00000,	 1.15000,	 0.49000,	 7.42000,	 -1.98000,	 -4.07000,	 -1.44000,	1	
Fri Mar 20 22:41:49 2020,	 208.0,	 0.00000,	 1.17000,	 0.49000,	 7.50000,	 -2.63000,	 -4.18000,	 -1.37000,	1	
Fri Mar 20 22:41:49 2020,	 209.0,	 0.00000,	 1.16000,	 0.49000,	 7.46000,	 -2.56000,	 -4.38000,	 -1.31000,	1	
Fri Mar 20 22:41:49 2020,	 210.0,	 0.00000,	 1.17000,	 0.50000,	 7.46000,	 -2.44000,	 -4.46000,	 -1.48000,	1	
Fri Mar 20 22:41:49 2020,	 211.0,	 0.00000,	 1.17000,	 0.52000,	 7.41000,	 -2.46000,	 -4.35000,	 -1.32000,	1	
Fri Mar 20 22:41:49 2020,	 212.0,	 0.00000,	 1.13000,	 0.48000,	 7.46000,	 -2.13000,	 -4.73000,	 -1.66000,	1	
Fri Mar 20 22:41:50 2020,	 213.0,	 0.00000,	 1.15000,	 0.52000,	 7.46000,	 -1.50000,	 -4.76000,	 -1.40000,	1	
Fri Mar 20 22:41:50 2020,	 214.0,	 0.00000,	 1.21000,	 0.52000,	 7.46000,	 -2.78000,	 -4.79000,	 -1.35000,	1	
Fri Mar 20 22:41:50 2020,	 215.0,	 0.00000,	 1.18000,	 0.35000,	 7.50000,	 -2.27000,	 -4.63000,	 -1.66000,	1	
Fri Mar 20 22:41:50 2020,	 216.0,	 0.00000,	 1.13000,	 0.53000,	 7.48000,	 -1.77000,	 -4.73000,	 -1.40000,	1	
Fri Mar 20 22:41:51 2020,	 217.0,	 0.00000,	 1.21000,	 0.52000,	 7.48000,	 -2.25000,	 -4.63000,	 -1.38000,	1	
Fri Mar 20 22:41:51 2020,	 218.0,	 0.00000,	 1.18000,	 0.46000,	 7.38000,	 -1.95000,	 -3.98000,	 -1.40000,	1	
Fri Mar 20 22:41:51 2020,	 219.0,	 0.00000,	 1.16000,	 0.50000,	 7.47000,	 -2.56000,	 -3.77000,	 -1.47000,	1	
Fri Mar 20 22:41:51 2020,	 220.0,	 0.00000,	 1.13000,	 0.53000,	 7.47000,	 -2.58000,	 -4.52000,	 -1.44000,	1	
Fri Mar 20 22:41:51 2020,	 221.0,	 0.00000,	 1.14000,	 0.54000,	 7.51000,	 -2.18000,	 -4.95000,	 -1.37000,	1	
Fri Mar 20 22:41:52 2020,	 222.0,	 0.00000,	 1.17000,	 0.53000,	 7.48000,	 -1.89000,	 -4.46000,	 -1.23000,	1	
Fri Mar 20 22:41:52 2020,	 223.0,	 0.00000,	 1.19000,	 0.47000,	 7.49000,	 -2.05000,	 -4.57000,	 -1.56000,	1	
Fri Mar 20 22:41:52 2020,	 224.0,	 0.00000,	 1.16000,	 0.47000,	 7.42000,	 -2.44000,	 -4.42000,	 -1.46000,	1	
